"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mbnl2",0.00383365814774905,-0.434859224741284,0.305,0.388,1
"Ube2e2",0.00398745267589281,-0.617491721584576,0.231,0.297,1
"Eif4g3",0.00415027110673919,-0.123482604855395,0.196,0.262,1
"Ppp2r3a",0.00420030027332251,-0.138462875935071,0.188,0.257,1
"Rbm39",0.00444121735371554,-0.272172664812329,0.272,0.352,1
"mt-Cytb",0.00459791710872073,0.797122205685155,0.475,0.434,1
"Lama2",0.00549353175061883,-0.123501122003464,0.439,0.524,1
"Atp2a2",0.0056135723445675,-0.154484105853629,0.248,0.321,1
"Setbp1",0.00575961397992469,-0.558891105745026,0.35,0.419,1
"mt-Nd5",0.00603011274137482,1.15461214696832,0.276,0.224,1
"Cmss1",0.00615765721178261,0.485007270863403,0.926,0.879,1
"Sparcl1",0.00628015829841809,-0.195821961379107,0.471,0.532,1
"Col16a1",0.00660419824296923,1.21086683086414,0.266,0.214,1
"Nlgn1",0.00662450747058184,-0.397520664222901,0.218,0.284,1
"Plekha5",0.00680785167977628,-0.473377408168981,0.255,0.315,1
"Diaph2",0.00728256098825577,-0.138723936384994,0.242,0.316,1
"Arhgef12",0.00729632310147932,-0.213918713194988,0.244,0.309,1
"mt-Nd2",0.00861988443646964,0.964158090532585,0.345,0.289,1
"Col5a2",0.00888439261284516,-0.11317699376879,0.428,0.507,1
"Spata5",0.00904043864921529,-0.82871893965922,0.283,0.328,1
"Phf21a",0.00910919014973225,-0.28799212819503,0.246,0.309,1
"Gphn",0.0107957362402283,0.425720875287696,0.57,0.562,1
"Serping1",0.0114815366559075,-0.42110773198859,0.292,0.36,1
"Wwox",0.0115444371412852,-0.599113733155972,0.231,0.295,1
"Tcf7l2",0.0119710758721104,-0.202541429566783,0.248,0.313,1
"Baz2b",0.0121460506451205,-0.300324986464662,0.222,0.285,1
"Chd9",0.0124934953939227,-0.334922346005388,0.291,0.352,1
"Ncoa1",0.0127761353404241,-0.356748901392529,0.242,0.3,1
"Slc8a1",0.0134620176457268,-0.287186056733314,0.207,0.269,1
"Plxdc2",0.013859620207757,0.739769796842548,0.291,0.244,1
"Lsp1",0.0142138377196594,1.11737631358476,0.322,0.276,1
"Kcnn3",0.0146008660774202,-0.37461512184938,0.25,0.31,1
"Cald1",0.0152678188615088,-0.307890514099622,0.328,0.392,1
"Fndc3b",0.0157443539768975,-0.37182437857473,0.419,0.482,1
"C3",0.0176219994770291,0.376225749243814,0.196,0.257,1
"Psap",0.0180656496732196,0.259460751132516,0.223,0.281,1
"Rbm25",0.0188042139164735,-0.133073101857083,0.322,0.391,1
"Aebp1",0.0189229045166002,0.767634166775311,0.356,0.312,1
"Kpna1",0.0193785116836408,0.42212266656723,0.443,0.398,1
"Malat1",0.0197533373450559,0.319278395909171,0.965,0.981,1
"Large1",0.0198481931567848,-0.111896207005123,0.238,0.296,1
"Arid1b",0.0205565797289547,-0.306043015642496,0.242,0.298,1
"Gsn",0.024406268275877,-0.300390311827333,0.801,0.824,1
"Negr1",0.0258041058866203,0.674980534573635,0.343,0.295,1
"Zfand3",0.0259974907340992,-0.100623333935948,0.207,0.259,1
"Fgfr2",0.0263937898306101,-0.293384456965067,0.382,0.436,1
"Peak1",0.027019880334822,0.130824154974155,0.218,0.276,1
"Itih5",0.0280775613628337,0.907297488807491,0.328,0.291,1
"Aopep",0.0286439828414523,-0.167026336145319,0.227,0.282,1
"Ldb2",0.0324200180005411,0.74560844715983,0.313,0.283,1
"Nfat5",0.038009484823169,-0.546426338683395,0.222,0.272,1
"Ldlrad4",0.0409025088493095,-0.187008493290522,0.348,0.404,1
"Clasp2",0.0426968300106232,-0.710660552519373,0.21,0.253,1
"Agap1",0.0440386838563858,0.503891583738371,0.197,0.252,1
"Ddr2",0.0463262483627165,-0.187671754927663,0.244,0.296,1
"Foxn3",0.0469197261675073,-0.223277085848394,0.279,0.342,1
"Gm14236",0.0472235098663785,0.688950407003478,0.253,0.215,1
"Gab2",0.0490040851027793,-0.378508825168715,0.233,0.275,1
"Ddx5",0.0536339565047798,0.235234087751768,0.287,0.345,1
"Col3a1",0.054513676310376,0.210653680556824,0.734,0.734,1
"S100a6",0.0552357839633626,0.627710214665905,0.484,0.445,1
"Matn2",0.0591177544950318,0.43137330784031,0.425,0.386,1
"Dcn",0.0593770559044007,-0.105686652201765,0.818,0.841,1
"Ptms",0.0620574454806787,0.690296186609017,0.391,0.364,1
